reach_id,segment_index,perpendicular_run_id,processing_status,quality_status,failure_code,failure_message,centre_x_m,centre_y_m,river_angle_deg,cross_section_angle_deg,nearest_pixc_distance_m,observed_pixc_width_m,negative_edge_distance_m,positive_edge_distance_m,n_anchor_candidates,n_negative,n_centre,n_positive,n_candidates_negative,n_candidates_centre,n_candidates_positive,n_nan_height_negative,n_nan_height_centre,n_nan_height_positive,negative_mean_height,centre_mean_height,positive_mean_height,negative_median_height,centre_median_height,positive_median_height,negative_std_height,centre_std_height,positive_std_height,negative_sem_height,centre_sem_height,positive_sem_height,delta_h_centre_minus_negative,delta_h_centre_minus_positive,delta_h_positive_minus_negative,delta_h_centre_minus_negative_median,delta_h_centre_minus_positive_median,delta_h_positive_minus_negative_median,delta_h_centre_minus_negative_sem,delta_h_centre_minus_positive_sem,delta_h_positive_minus_negative_sem,negative_sample_status,centre_sample_status,positive_sample_status,negative_passes_minimum,centre_passes_minimum,positive_passes_minimum,n_shared_negative_centre,n_shared_centre_positive,n_shared_negative_positive,neighbourhoods_overlap
segment_546_run_24,546,24,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,405062.7468500604,5014355.761283085,-22.011283195243905,67.9887168047561,1479.5653376399212,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_554_run_25,554,25,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,405452.2845050206,5014263.042285029,-31.90810693819239,58.09189306180761,1181.7361364843887,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_578_run_26,578,26,failed,not_evaluated,NO_ANCHOR_CANDIDATES,"Too few PIXC points were found near the cross-section (found 0, need >= 2).",405853.80491184874,5013603.401616657,-29.53878227583959,60.461217724160406,413.3304038919039,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_694_run_27,694,27,failed,not_evaluated,NO_POSITIVE_SIDE_POINTS,No PIXC points were found on the positive side of the cross-section centre.,407029.68610327167,5008883.081354426,-16.38954034423576,73.61045965576425,140.14555385313224,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_714_run_28,714,28,failed,not_evaluated,NO_POSITIVE_SIDE_POINTS,No PIXC points were found on the positive side of the cross-section centre.,407340.45189759677,5008453.863111309,-1.4320961871020559,88.56790381289794,96.9675229182175,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_728_run_29,728,29,failed,not_evaluated,NO_ANCHOR_CANDIDATES,"Too few PIXC points were found near the cross-section (found 0, need >= 2).",407669.4864775558,5008007.947591002,-25.395911845719215,64.60408815428079,84.1559183823082,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_760_run_30,760,30,failed,not_evaluated,NO_POSITIVE_SIDE_POINTS,No PIXC points were found on the positive side of the cross-section centre.,408368.0219798449,5006840.120380316,-31.328692867944675,58.671307132055325,7.692370170638083,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_776_run_31,776,31,failed,not_evaluated,NO_POSITIVE_SIDE_POINTS,No PIXC points were found on the positive side of the cross-section centre.,408916.0855488512,5006362.578252623,-10.124671649308409,79.87532835069159,4.28603384404546,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_792_run_33,792,33,failed,not_evaluated,NO_ANCHOR_CANDIDATES,"Too few PIXC points were found near the cross-section (found 0, need >= 2).",409654.6945164007,5006054.759036621,-1.6602823743718096,88.3397176256282,289.1697085145144,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_798_run_34,798,34,failed,not_evaluated,NO_ANCHOR_CANDIDATES,"Too few PIXC points were found near the cross-section (found 0, need >= 2).",409861.5443150259,5006061.437947499,-6.9810573801825715,83.01894261981742,473.63612194811947,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_822_run_35,822,35,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,410372.08811998944,5005067.065981064,-20.72555886391883,69.27444113608117,1494.7062126726466,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_849_run_36,849,36,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,411273.34821124445,5004188.985639313,-11.309932478179102,78.6900675218209,2749.461404954623,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_862_run_37,862,37,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,411660.9214806525,5003857.7902352335,-16.841205735202635,73.15879426479736,3256.1489147817433,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
